iter	Passed	Remaining
0	12	3654
1	18	2705
2	24	2382
3	30	2251
4	33	1951
5	35	1749
6	38	1619
7	41	1515
8	44	1425
9	46	1352
10	49	1293
11	52	1251
12	54	1208
13	57	1175
14	60	1147
15	63	1118
16	65	1095
17	68	1072
18	71	1051
19	74	1038
20	76	1017
21	79	999
22	81	982
23	84	966
24	86	953
25	89	942
26	91	928
27	94	916
28	96	904
29	99	894
30	101	883
31	104	874
32	106	864
33	109	855
34	111	846
35	114	838
36	116	830
37	119	824
38	122	817
39	124	809
40	127	802
41	129	795
42	132	789
43	134	783
44	137	777
45	139	772
46	142	766
47	144	760
48	147	757
49	150	751
50	152	746
51	155	740
52	157	735
53	160	729
54	162	726
55	165	721
56	168	716
57	169	708
58	172	704
59	174	699
60	177	696
61	180	691
62	183	689
63	185	685
64	188	681
65	191	677
66	193	672
67	196	669
68	198	665
69	201	662
70	204	659
71	206	655
72	209	651
73	212	647
74	214	643
75	217	640
76	219	636
77	222	632
78	224	628
79	227	624
80	229	620
81	231	616
82	234	613
83	237	609
84	239	606
85	242	602
86	244	598
87	246	594
88	249	591
89	251	587
90	254	584
91	257	581
92	259	577
93	261	573
94	264	571
95	267	567
96	269	564
97	272	561
98	274	557
99	277	554
100	279	551
101	282	548
102	284	544
103	287	541
104	289	538
105	292	535
106	295	532
107	297	529
108	299	525
109	302	522
110	305	519
111	307	516
112	310	513
113	312	509
114	314	506
115	317	503
116	320	500
117	322	497
118	325	494
119	327	491
120	330	488
121	332	485
122	334	481
123	337	478
124	339	475
125	342	472
126	344	469
127	347	466
128	349	463
129	352	460
130	355	457
131	357	455
132	360	452
133	362	448
134	364	446
135	367	443
136	369	440
137	372	437
138	375	434
139	377	431
140	379	428
141	382	425
142	384	422
143	387	419
144	390	417
145	392	414
146	395	411
147	397	408
148	400	405
149	402	402
150	405	399
151	407	396
152	410	394
153	412	391
154	415	388
155	417	385
156	420	382
157	422	379
158	425	377
159	427	374
160	430	371
161	432	368
162	435	365
163	437	362
164	440	360
165	443	357
166	445	354
167	448	352
168	450	349
169	453	346
170	455	343
171	458	341
172	461	338
173	463	335
174	466	333
175	468	330
176	471	327
177	473	324
178	476	322
179	479	319
180	481	316
181	484	313
182	486	311
183	489	308
184	491	305
185	494	303
186	496	300
187	499	297
188	501	294
189	504	292
190	506	289
191	509	286
192	511	283
193	514	281
194	517	278
195	519	275
196	522	273
197	524	270
198	527	267
199	529	264
200	532	262
201	535	259
202	537	256
203	540	254
204	542	251
205	545	248
206	547	246
207	550	243
208	553	240
209	555	238
210	558	235
211	560	232
212	563	230
213	566	227
214	569	224
215	571	222
216	574	219
217	576	216
218	579	214
219	581	211
220	584	208
221	586	206
222	589	203
223	591	200
224	594	198
225	596	195
226	599	192
227	601	190
228	604	187
229	606	184
230	609	182
231	611	179
232	614	176
233	617	174
234	619	171
235	622	168
236	624	166
237	627	163
238	629	160
239	632	158
240	634	155
241	637	152
242	640	150
243	642	147
244	645	144
245	647	142
246	650	139
247	653	136
248	655	134
249	658	131
250	660	129
251	663	126
252	666	123
253	668	121
254	671	118
255	673	115
256	676	113
257	679	110
258	682	107
259	684	105
260	687	102
261	690	100
262	692	97
263	696	94
264	698	92
265	701	89
266	703	86
267	706	84
268	708	81
269	712	79
270	714	76
271	717	73
272	719	71
273	722	68
274	724	65
275	727	63
276	729	60
277	732	57
278	735	55
279	737	52
280	739	50
281	742	47
282	745	44
283	747	42
284	750	39
285	752	36
286	755	34
287	758	31
288	761	28
289	763	26
290	766	23
291	768	21
292	771	18
293	773	15
294	776	13
295	778	10
296	780	7
297	783	5
298	785	2
299	788	0
