name,manufacturer,year,age,mileage,engine,transmission,price
Mazda MX5,Mazda,2007,14,63131,Petrol,Manual,7499
Jaguar XF,Jaguar,2010,11,61890,Petrol,Automatic,7775
Audi A6,Audi,2012,9,129170,Diesel,Automatic,6950
Nissan Qashqai,Nissan,2013,8,44900,Petrol,Automatic,7790
MINI Mini,Mini,2017,4,32012,Petrol,Manual,15999
Mercedes B Class,Mercedes-Benz,2015,6,33050,Diesel,Automatic,10995
Volkswagen Touran,Volkswagen,2011,10,62000,Diesel,Manual,7250
Vauxhall ADAM,Vauxhall,2014,7,44000,Petrol,Manual,5990
Toyota Prius,Toyota,2013,8,172000,Hybrid,Automatic,6290
Skoda Roomster,Skoda,2012,9,74000,Diesel,Manual,4450
MINI Mini,Mini,2011,10,79370,Diesel,Manual,4499
Ford Mustang,Ford,2021,0,82000,Petrol,Manual,16995
Ford Fiesta,Ford,2009,12,76000,Petrol,Manual,3295
Chevrolet Captiva,Chevrolet,2010,11,102000,Diesel,Automatic,3995
BMW X1,BMW,2010,11,108119,Diesel,Automatic,5990
BMW X5,BMW,2006,15,89700,Petrol,Automatic,8995
Audi Q5,Audi,2009,12,139000,Diesel,Semiautomatic,6000
Audi A5,Audi,2013,8,59403,Diesel,Automatic,10390
Toyota Yaris,Toyota,2010,11,69492,Petrol,Manual,3000
Toyota Auris,Toyota,2010,11,67250,Hybrid,Automatic,6790
Suzuki Grand Vitara,Suzuki,2007,14,43566,Petrol,Manual,4495
Renault Trafic,Renault,2017,4,154000,Diesel,Manual,7990
Nissan Qashqai,Nissan,2015,6,63900,Petrol,Manual,9490
Mercedes C Class,Mercedes-Benz,2019,2,25000,Petrol,Automatic,25000
Jaguar XF,Jaguar,2010,11,84000,Diesel,Automatic,7000
BMW Z4,BMW,2012,9,63000,Petrol,Automatic,13990
Audi Q3,Audi,2012,9,75687,Diesel,Semiautomatic,11995
Audi A1,Audi,2013,8,65616,Diesel,Manual,6890
Audi A3,Audi,2015,6,98600,Diesel,Manual,7750
Volkswagen Passat,Volkswagen,2009,12,53296,Petrol,Semiautomatic,4995
Peugeot Partner,Peugeot,2013,8,77000,Diesel,Manual,5895
Mercedes S Class,Mercedes-Benz,2016,5,35674,Diesel,Automatic,26990
Mercedes C Class,Mercedes-Benz,2016,5,51010,Diesel,Automatic,22990
Mercedes C Class,Mercedes-Benz,2015,6,58678,Diesel,Automatic,17990
Ford Kuga,Ford,2018,3,41500,Diesel,Manual,15995
Citroen DS3,Citroen,2013,8,77725,Petrol,Automatic,4525
Volvo V70,Volvo,2014,7,123700,Diesel,Manual,8395
Vauxhall Corsa,Vauxhall,2011,10,57294,Petrol,Manual,3195
Vauxhall Astra,Vauxhall,2014,7,73000,Petrol,Manual,4395
Renault Clio,Renault,2014,7,84238,Diesel,Manual,4595
Citroen C4 Picasso,Citroen,2016,5,34000,Petrol,Manual,11995
BMW 3 SERIES,BMW,2011,10,103000,Diesel,Automatic,4000
Vauxhall Corsa,Vauxhall,2013,8,71000,Petrol,Manual,3999
Citroen C4 Picasso,Citroen,2018,3,38368,Diesel,Manual,11490
Vauxhall Corsa,Vauxhall,2012,9,89986,Petrol,Manual,3299
Renault Megane,Renault,2011,10,86000,Diesel,Semiautomatic,3200
Mazda 6,Mazda,2015,6,104100,Diesel,Automatic,6295
Ford Mondeo,Ford,2011,10,93843,Diesel,Automatic,5499
Ford Focus,Ford,2012,9,57343,Petrol,Manual,4999
Vauxhall Zafira,Vauxhall,2013,8,73000,Diesel,Automatic,5995
Mercedes M Class,Mercedes-Benz,2013,8,90009,Diesel,Automatic,3650
Fiat 500,Fiat,2013,8,32881,Petrol,Manual,4950
Citroen Nemo,Citroen,2015,6,77043,Diesel,Manual,5499
Audi Q3,Audi,2013,8,102500,Petrol,Semiautomatic,11800
Audi A7,Audi,2013,8,57266,Diesel,Automatic,16850
DS DS 3,DS,2019,2,20875,Petrol,Semiautomatic,11995
DS DS 3,DS,2020,1,3302,Petrol,Semiautomatic,19990
Dacia Duster,Dacia,2018,3,12002,Petrol,Manual,12995
Dacia Duster,Dacia,2019,2,12137,Petrol,Manual,13799
Dacia Duster,Dacia,2019,2,14000,Petrol,Manual,9595
Dacia Duster,Dacia,2017,4,25346,Diesel,Manual,10750
Dacia Duster,Dacia,2018,3,35071,Petrol,Manual,9750
Dacia Sandero,Dacia,2018,3,15000,Petrol,Manual,7996
Dacia Sandero,Dacia,2017,4,22632,Diesel,Manual,6730
Dacia Sandero,Dacia,2019,2,5800,Petrol,Manual,8495
Dacia Sandero,Dacia,2016,5,26465,Petrol,Manual,6195
Abarth 124 Spider,Abarth,2017,4,13386,Petrol,Manual,20600
Abarth 595,Abarth,2019,2,15336,Petrol,Manual,12995
Abarth 695,Abarth,2018,3,20850,Petrol,Manual,17995
Volvo XC40,Volvo,2019,2,21651,Petrol,Manual,26490
Volvo V90,Volvo,2017,4,25750,Diesel,Semiautomatic,28990
Volvo XC60,Volvo,2015,6,43100,Diesel,Semiautomatic,19500
Volvo XC60,Volvo,2014,7,51028,Diesel,Semiautomatic,18470
Volvo V40,Volvo,2015,6,51554,Diesel,Semiautomatic,10000
Volvo V40,Volvo,2015,6,47076,Diesel,Semiautomatic,11990
Volvo V40,Volvo,2014,7,49910,Diesel,Manual,8995
Volvo V40,Volvo,2015,6,33135,Diesel,Manual,10399
Volvo V40,Volvo,2018,3,8172,Petrol,Semiautomatic,19790
Volvo V40,Volvo,2019,2,10591,Petrol,Semiautomatic,20490
Volvo S60,Volvo,2015,6,60000,Diesel,Manual,9095
Volkswagen Arteon,Volkswagen,2020,1,2918,Diesel,Semiautomatic,29990
Volkswagen Up,Volkswagen,2018,3,900,Petrol,Manual,14990
Volkswagen Tiguan,Volkswagen,2019,2,6000,Petrol,Manual,23995
Volkswagen Tiguan,Volkswagen,2018,3,36620,Diesel,Manual,24990
Volkswagen Tiguan Allspace,Volkswagen,2019,2,11114,Diesel,Semiautomatic,25990
Volkswagen Tiguan,Volkswagen,2021,0,2738,Petrol,Manual,25490
Volkswagen Tiguan,Volkswagen,2020,1,2747,Petrol,Semiautomatic,28859
Volkswagen Tiguan,Volkswagen,2016,5,12920,Diesel,Semiautomatic,22995
Volkswagen Tiguan,Volkswagen,2018,3,24945,Diesel,Semiautomatic,29990
Volkswagen Transporter,Volkswagen,2020,1,10238,Diesel,Manual,26990
Volkswagen Transporter,Volkswagen,2020,1,24480,Diesel,Manual,26500
Volkswagen Transporter,Volkswagen,2020,1,6245,Diesel,Manual,29990
Volkswagen Touran,Volkswagen,2020,1,8458,Diesel,Semiautomatic,24690
Volkswagen Touran,Volkswagen,2020,1,5336,Petrol,Manual,23990
Volkswagen Touran,Volkswagen,2020,1,16896,Diesel,Semiautomatic,23690
Volkswagen Touran,Volkswagen,2020,1,5544,Petrol,Manual,23990
Volkswagen Touran,Volkswagen,2020,1,8363,Diesel,Manual,24490
Volkswagen Touran,Volkswagen,2020,1,7026,Petrol,Semiautomatic,24990
Volkswagen Touran,Volkswagen,2020,1,11007,Petrol,Manual,23990
Volkswagen Touran,Volkswagen,2020,1,12233,Petrol,Semiautomatic,24990
Volkswagen Polo,Volkswagen,2017,4,27000,Petrol,Manual,10000
Volkswagen Polo,Volkswagen,2019,2,21492,Petrol,Manual,12490
Volkswagen Polo,Volkswagen,2019,2,12862,Petrol,Manual,12995
Volkswagen Polo,Volkswagen,2019,2,9534,Petrol,Manual,14000
Volkswagen Polo,Volkswagen,2016,5,27388,Petrol,Manual,9495
Volkswagen Polo,Volkswagen,2015,6,23516,Petrol,Manual,9795
Volkswagen Polo,Volkswagen,2014,7,24000,Petrol,Manual,7980
Volkswagen Polo,Volkswagen,2018,3,19064,Petrol,Manual,14495
Volkswagen Polo,Volkswagen,2018,3,11647,Petrol,Semiautomatic,15995
Volkswagen Polo,Volkswagen,2018,3,15112,Petrol,Manual,13990
Volkswagen Polo,Volkswagen,2016,5,21084,Petrol,Manual,9990
Volkswagen Polo,Volkswagen,2020,1,13793,Petrol,Manual,15190
Volkswagen Polo,Volkswagen,2018,3,12574,Petrol,Semiautomatic,20790
Volkswagen Passat,Volkswagen,2016,5,49280,Diesel,Manual,16000
Volkswagen Golf,Volkswagen,2020,1,1675,Diesel,Semiautomatic,25280
Volkswagen Golf,Volkswagen,2020,1,4485,Diesel,Semiautomatic,23790
Volkswagen Golf,Volkswagen,2020,1,15096,Diesel,Manual,20990
Volkswagen Golf,Volkswagen,2018,3,24105,Diesel,Manual,13995
Volkswagen Golf,Volkswagen,2020,1,2222,Diesel,Semiautomatic,23980
Volkswagen Golf,Volkswagen,2020,1,12716,Diesel,Semiautomatic,24980
Volkswagen Golf,Volkswagen,2020,1,1823,Diesel,Semiautomatic,23990
Volkswagen Golf,Volkswagen,2015,6,59025,Diesel,Semiautomatic,9499
Volkswagen Golf,Volkswagen,2020,1,7905,Diesel,Semiautomatic,23290
Volkswagen Golf,Volkswagen,2018,3,32100,Petrol,Manual,19000
Volkswagen Golf,Volkswagen,2019,2,22996,Petrol,Manual,17995
Volkswagen Golf,Volkswagen,2018,3,26000,Petrol,Manual,14999
Volkswagen Golf,Volkswagen,2018,3,32000,Petrol,Manual,14499
Volkswagen Golf,Volkswagen,2021,0,1341,Hybrid,Semiautomatic,25490
Volkswagen Golf,Volkswagen,2020,1,1303,Petrol,Manual,22990
Volkswagen Golf,Volkswagen,2020,1,2570,Petrol,Manual,22690
Volkswagen Golf,Volkswagen,2020,1,6277,Petrol,Manual,22490
Volkswagen Golf,Volkswagen,2020,1,2842,Petrol,Manual,22690
Volkswagen Golf,Volkswagen,2020,1,3798,Petrol,Manual,22590
Volkswagen Golf,Volkswagen,2020,1,9209,Petrol,Manual,19990
Volkswagen Golf,Volkswagen,2020,1,7882,Petrol,Semiautomatic,22290
Volkswagen Golf,Volkswagen,2020,1,12315,Petrol,Semiautomatic,21990
Volkswagen Golf,Volkswagen,2020,1,13918,Petrol,Semiautomatic,21390
