iter	RMSE
0	0.5371125584
1	0.522330734
2	0.5088251033
3	0.4971696681
4	0.4849408975
5	0.4740509039
6	0.4633447587
7	0.4534464421
8	0.4461718917
9	0.4372690544
10	0.428581924
11	0.4205743258
12	0.412703063
13	0.4048845048
14	0.398218794
15	0.3919514467
16	0.3854837411
17	0.3793558751
18	0.374595627
19	0.369110367
20	0.3637956281
21	0.3591824794
22	0.3547458117
23	0.3508860338
24	0.3470409421
25	0.3431794208
26	0.3393675718
27	0.3360789198
28	0.3327546518
29	0.3298848931
30	0.3267243844
31	0.3236658185
32	0.3213474791
33	0.3187535846
34	0.3167691829
35	0.3146253855
36	0.3130860287
37	0.3111563418
38	0.3092448537
39	0.3073302255
40	0.3053020896
41	0.303518022
42	0.3015821846
43	0.2998766979
44	0.298226056
45	0.2970131909
46	0.2955658054
47	0.2939690552
48	0.2926724888
49	0.291189306
50	0.2899520478
51	0.2883751334
52	0.2875964241
53	0.2867668945
54	0.2857604257
55	0.2845504971
56	0.2835535749
57	0.2825352481
58	0.2817059879
59	0.2805626405
60	0.2799737114
61	0.2792823698
62	0.2786950613
63	0.2778865112
64	0.2771853838
65	0.2764385272
66	0.2754884853
67	0.2747047494
68	0.2739852125
69	0.273212799
70	0.2725834197
71	0.2715189736
72	0.2707793888
73	0.2700929021
74	0.2689905687
75	0.2683385902
76	0.2677807808
77	0.2672244984
78	0.2667299256
79	0.2658321654
80	0.2652521889
81	0.2647932479
82	0.2643115165
83	0.2634459534
84	0.2628849942
85	0.2622698629
86	0.2618879097
87	0.2616512304
88	0.261265627
89	0.2608126977
90	0.2606974921
91	0.2603246337
92	0.259824891
93	0.2594199694
94	0.2592103029
95	0.258572219
96	0.2582369605
97	0.2580523302
98	0.2575989726
99	0.2570073854
100	0.2567228369
101	0.2562285032
102	0.2556657792
103	0.2551674721
104	0.2549909044
105	0.2547023586
106	0.2545488671
107	0.2543408611
108	0.2542407313
109	0.2539681677
110	0.2535254728
111	0.2532453531
112	0.2529934376
113	0.2527525532
114	0.2525105143
115	0.2522989772
116	0.2519795958
117	0.2518135152
118	0.2515802175
119	0.2514479822
120	0.2512122468
121	0.2507513213
122	0.2504394444
123	0.250255591
124	0.2500612052
125	0.2496850527
126	0.249629281
127	0.2494596945
128	0.2493594952
129	0.2490637101
130	0.2488891006
131	0.2487304817
132	0.2484821531
133	0.2484428176
134	0.2481362845
135	0.2478217021
136	0.2476912596
137	0.2474816852
138	0.2470942981
139	0.2469192856
140	0.2465760998
141	0.246354506
142	0.2461492162
143	0.2459216823
144	0.2456105051
145	0.2454680451
146	0.2453422777
147	0.245094484
148	0.2449204822
149	0.2447391312
150	0.24470239
151	0.2445810845
152	0.2444839889
153	0.2443285766
154	0.2439766373
155	0.2437066721
156	0.2434073466
157	0.2433580283
158	0.2432072271
159	0.243156783
160	0.2430838961
161	0.2428049349
162	0.2427078287
163	0.242627919
164	0.2424019171
165	0.2422585682
166	0.2421700445
167	0.2420647223
168	0.2417686681
169	0.2416205423
170	0.2415385327
171	0.2413943018
172	0.241370144
173	0.2411639806
174	0.2409809085
175	0.2408457883
176	0.240641084
177	0.240542382
178	0.2404987985
179	0.2403639903
180	0.2402751441
181	0.2400482586
182	0.2399633711
183	0.2398573354
184	0.2397898995
185	0.2397008282
186	0.2394359238
187	0.2393852636
188	0.2391283285
189	0.2389974969
190	0.2389490424
191	0.2388703164
192	0.2386474515
193	0.2384956331
194	0.2383024997
195	0.2382026433
196	0.2381283127
197	0.2380000875
198	0.2379229282
199	0.2377960197
200	0.2377094431
201	0.237571205
202	0.2374902827
203	0.2372867969
204	0.2372293124
205	0.2371175206
206	0.2370011873
207	0.2367965092
208	0.2366256868
209	0.2365630495
210	0.2363970641
211	0.2362909287
212	0.2362157336
213	0.2360816214
214	0.2358880246
215	0.2358025656
216	0.2357651038
217	0.2356134544
218	0.2354454782
219	0.2353112386
220	0.2352212219
221	0.2350648687
222	0.2350441207
223	0.2348676832
224	0.2347220475
225	0.2346167763
226	0.2344359628
227	0.2343285845
228	0.2342841441
229	0.2341727947
230	0.2340212497
231	0.2339287267
232	0.2338770683
233	0.2338000229
234	0.2336175554
235	0.2335403584
236	0.233355875
237	0.2332235196
238	0.2330833272
239	0.2329206359
240	0.2328820687
241	0.2328401814
242	0.2327334344
243	0.2324943027
244	0.2323748482
245	0.2323190859
246	0.2322465881
247	0.2320265943
248	0.2318528254
249	0.2317503848
250	0.2317144466
251	0.2316221178
252	0.2315107074
253	0.2313994245
254	0.2313079937
255	0.23116747
256	0.2310340529
257	0.2309265324
258	0.2308515942
259	0.2307962743
260	0.2307450647
261	0.230607643
262	0.2305441919
263	0.230434062
264	0.2303034407
265	0.2301477884
266	0.2300537946
267	0.2299781581
268	0.2298891382
269	0.2297998755
270	0.2296430115
271	0.2295262331
272	0.2293679984
273	0.2293281373
274	0.2292903998
275	0.22926392
276	0.2292226949
277	0.2291670235
278	0.2291111244
279	0.2290187491
280	0.2289241438
281	0.2287980405
282	0.2286164614
283	0.2285107146
284	0.2283784699
285	0.2282815676
286	0.2281468249
287	0.2280584021
288	0.2279861199
289	0.2278858494
290	0.2278393808
291	0.2277611141
292	0.2275990678
293	0.2275472117
294	0.2274506036
295	0.2273306225
296	0.2272363562
297	0.2272063937
298	0.2270716032
299	0.2269015951
300	0.226736044
301	0.2265719055
302	0.2264780025
303	0.2264064979
304	0.2263223913
305	0.226271131
306	0.2261970134
307	0.2261212548
308	0.2260739494
309	0.2260121026
310	0.2259375536
311	0.2258188619
312	0.2257495394
313	0.225689803
314	0.2256498751
315	0.2255754976
316	0.2254943956
317	0.2254405728
318	0.2254001384
319	0.2253113114
320	0.2252738748
321	0.2252181766
322	0.2251543781
323	0.2250457729
324	0.2249644528
325	0.2248945693
326	0.2247702181
327	0.2246422704
328	0.2245947206
329	0.2245636203
330	0.2244324468
331	0.2242709936
332	0.2241225642
333	0.2240707919
334	0.2240015711
335	0.2238173321
336	0.2237911659
337	0.2237016671
338	0.2235920025
339	0.2235304181
340	0.2234220079
341	0.2233960555
342	0.223316013
343	0.2232093517
344	0.2231423032
345	0.2231126356
346	0.2229924049
347	0.2228609961
348	0.2228256258
349	0.2227683902
350	0.2226356777
351	0.2225264347
352	0.2223079162
353	0.2221962798
354	0.2220919227
355	0.2220308543
356	0.2219478317
357	0.2218784964
358	0.2217313429
359	0.2216017355
