iter	Passed	Remaining
0	3	3790
1	7	3912
2	11	3868
3	15	3887
4	19	3836
5	23	3813
6	27	3878
7	31	3852
8	33	3650
9	37	3668
10	40	3682
11	45	3785
12	49	3779
13	53	3795
14	58	3819
15	61	3793
16	66	3822
17	70	3850
18	74	3854
19	78	3825
20	81	3810
21	85	3794
22	88	3773
23	92	3768
24	96	3753
25	103	3884
26	108	3898
27	111	3881
28	115	3875
29	119	3851
30	123	3847
31	126	3835
32	131	3844
33	135	3843
34	138	3825
35	142	3817
36	145	3788
37	149	3793
38	153	3776
39	157	3780
40	162	3790
41	166	3787
42	169	3781
43	175	3803
44	178	3788
45	182	3790
46	186	3786
47	190	3781
48	194	3772
49	197	3759
50	206	3843
51	210	3833
52	214	3826
53	217	3813
54	221	3799
55	224	3789
56	228	3780
57	232	3778
58	236	3769
59	240	3762
60	242	3734
61	246	3730
62	250	3731
63	255	3732
64	259	3736
65	263	3730
66	267	3730
67	271	3716
68	274	3706
69	278	3697
70	282	3697
71	286	3693
72	290	3686
73	294	3681
74	297	3675
75	301	3664
76	304	3655
77	309	3653
78	312	3646
79	316	3639
80	320	3631
81	323	3622
82	329	3644
83	333	3640
84	337	3636
85	341	3627
86	345	3626
87	348	3615
88	353	3614
89	357	3610
90	358	3584
91	362	3579
92	371	3626
93	382	3683
94	386	3681
95	389	3671
96	397	3700
97	401	3699
98	405	3693
99	410	3694
100	414	3688
101	418	3682
102	421	3673
103	427	3685
104	436	3717
105	442	3729
106	445	3719
107	449	3711
108	455	3726
109	463	3748
110	467	3740
111	471	3735
112	480	3774
113	485	3771
114	489	3768
115	499	3806
116	504	3807
117	512	3829
118	516	3824
119	520	3818
120	525	3816
121	529	3807
122	539	3849
123	546	3860
124	560	3925
125	564	3915
126	568	3907
127	572	3898
128	578	3903
129	584	3914
130	588	3905
131	592	3895
132	598	3902
133	602	3893
134	606	3888
135	610	3879
136	614	3869
137	617	3859
138	621	3848
139	625	3839
140	629	3837
141	633	3828
142	637	3818
143	640	3809
144	644	3801
145	650	3802
146	660	3830
147	666	3836
148	670	3827
149	674	3819
150	677	3807
151	681	3800
152	685	3793
153	688	3782
154	692	3776
155	700	3791
156	705	3789
157	709	3783
158	714	3777
159	717	3767
160	724	3775
161	728	3768
162	732	3759
163	735	3748
164	739	3744
165	743	3735
166	747	3729
167	751	3719
168	755	3713
169	759	3710
170	763	3701
171	767	3694
172	769	3676
173	772	3667
174	776	3659
175	780	3654
176	784	3645
177	788	3640
178	791	3632
179	795	3625
180	799	3616
181	803	3612
182	807	3604
183	810	3596
184	814	3589
185	818	3583
186	822	3574
187	826	3568
188	830	3561
189	833	3555
190	836	3545
191	840	3538
192	844	3532
193	848	3524
194	851	3516
195	855	3509
196	859	3504
197	863	3497
198	867	3492
199	870	3483
200	875	3481
201	879	3474
202	884	3473
203	888	3465
204	892	3459
205	895	3451
206	898	3443
207	903	3438
208	907	3433
209	910	3426
210	914	3419
211	918	3412
212	921	3404
213	924	3396
214	928	3388
215	931	3382
216	935	3374
217	939	3368
218	942	3361
219	946	3356
220	949	3348
221	953	3340
222	956	3332
223	960	3326
224	964	3320
225	967	3313
226	971	3307
227	974	3300
228	978	3292
229	981	3286
230	985	3279
231	988	3272
232	992	3265
233	996	3262
234	1001	3259
235	1005	3254
236	1009	3248
237	1012	3242
238	1017	3240
239	1022	3238
240	1027	3234
241	1031	3230
242	1035	3225
243	1038	3219
244	1042	3213
245	1046	3206
246	1049	3200
247	1053	3195
248	1057	3189
249	1061	3183
250	1064	3175
251	1067	3169
252	1071	3162
253	1074	3156
254	1078	3150
255	1081	3144
256	1085	3138
257	1089	3132
258	1092	3126
259	1096	3119
260	1099	3114
261	1103	3107
262	1106	3101
263	1110	3095
264	1113	3089
265	1117	3083
266	1121	3077
267	1124	3071
268	1128	3065
269	1131	3059
270	1135	3053
271	1138	3048
272	1142	3043
273	1145	3036
274	1149	3029
275	1152	3023
276	1156	3017
277	1159	3012
278	1163	3007
279	1167	3002
280	1171	2997
281	1175	2993
282	1179	2987
283	1182	2981
284	1187	2978
285	1191	2974
286	1196	2973
287	1200	2967
288	1205	2965
289	1208	2959
290	1212	2954
291	1216	2948
